Order_ID,Order_Date,Day_Name,Order_Time,City,Store,Customer_ID,Customer_Type,Gender,Age,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Payment_Method,Employee,Channel,Revenue
ORD500013,2026-06-21,Sunday,16:50,İstanbul,Bakırköy,CUST11478,Returning,Male,45.0,Elektronik,Kablosuz Mouse,3,499,10,Wallet,EMP_13,Mobile,1347.3
ORD500014,2026-06-24,Wednesday,21:55,İstanbul,Kadıköy,CUST10043,New,Female,56.0,Elektronik,Laptop Standı,3,999,10,Wallet,EMP_17,Mobile,2697.3
ORD500015,2026-06-24,Wednesday,20:30,Gaziantep,Şehitkamil,CUST11515,Returning,Male,55.0,Ofis,Kalem Seti,1,229,0,PayPal,EMP_22,Web,229.0
ORD500016,2026-06-19,Friday,19:40,İzmir,Bornova,CUST11485,New,Female,,Spor,Koşu Çantası,1,499,15,Bank Transfer,EMP_11,Mobile,424.15
ORD500017,2026-06-22,Monday,17:40,İzmir,Bornova,CUST10907,Returning,Female,50.0,Kozmetik,Güneş Kremi,1,599,0,Card,EMP_23,Mobile,599.0
ORD500018,2026-06-09,Tuesday,17:40,Konya,Selçuklu,CUST11374,New,Male,46.0,Kitap,Kişisel Gelişim,4,349,15,Card,EMP_03,Web,1186.6
ORD500019,2026-06-07,Sunday,18:05,Eskişehir,Odunpazarı,CUST10458,New,Male,24.0,Kozmetik,Serum,2,899,15,PayPal,EMP_17,Mobile,1528.3
ORD500020,2026-06-13,Saturday,16:15,Ankara,Çankaya,CUST10468,New,Female,51.0,Ofis,Defter,1,179,5,Card,EMP_09,Mobile,170.05
ORD500021,2026-06-09,Tuesday,10:10,İstanbul,Kadıköy,CUST10375,Returning,Female,49.0,Ofis,Masa Düzenleyici,1,399,5,Card,EMP_09,Mobile,379.05
ORD500022,2026-06-01,Monday,18:20,İstanbul,Kadıköy,CUST10224,New,Male,35.0,Elektronik,Bluetooth Kulaklık,1,1299,0,Card,EMP_02,Web,1299.0
ORD500023,2026-06-06,Saturday,14:20,Antalya,Muratpaşa,CUST10915,New,Male,,Ev,Saklama Kabı,2,299,0,Bank Transfer,EMP_22,Web,598.0
ORD500024,2026-06-16,Tuesday,18:30,Gaziantep,Şehitkamil,CUST10029,New,Male,58.0,Kitap,Roman,1,299,10,Wallet,EMP_14,Mobile,269.1
ORD500025,2026-06-06,Saturday,11:50,Kocaeli,İzmit,CUST10500,New,Male,34.0,Kitap,Kişisel Gelişim,2,349,0,Wallet,EMP_07,Mobile,698.0
ORD500026,2026-06-12,Friday,14:25,Ankara,Yenimahalle,CUST11289,New,Female,23.0,Ev,Termos,1,549,10,Card,EMP_19,Web,494.1
ORD500027,2026-06-17,Wednesday,20:10,Antalya,Muratpaşa,CUST10285,New,Female,20.0,Ofis,Ajanda,1,319,10,PayPal,EMP_03,Mobile,287.1
ORD500028,2026-06-01,Monday,10:50,Ankara,Çankaya,CUST11532,New,Female,61.0,Ev,Blender,2,2199,5,Unknown,EMP_24,Mobile,4178.1
ORD500029,2026-06-24,Wednesday,17:05,Kocaeli,İzmit,CUST11316,New,Female,42.0,Ofis,Kalem Seti,1,229,5,Wallet,EMP_20,Mobile,217.55
ORD500030,2026-06-05,Friday,16:50,Konya,Selçuklu,CUST11057,Returning,Male,61.0,Kitap,Roman,1,299,0,Bank Transfer,EMP_15,Web,299.0
ORD500031,2026-06-15,Monday,19:40,İstanbul,Kadıköy,CUST10431,New,Female,46.0,Kozmetik,Güneş Kremi,1,599,0,PayPal,EMP_05,Mobile,599.0
ORD500032,2026-06-24,Wednesday,17:25,İstanbul,Bakırköy,CUST10923,Returning,Male,49.0,Spor,Yoga Matı,2,699,0,Unknown,EMP_24,Mobile,1398.0
ORD500033,2026-06-05,Friday,17:30,Ankara,Yenimahalle,CUST10799,New,Male,,Elektronik,Akıllı Saat,3,3499,0,Wallet,EMP_30,Web,10497.0
ORD500034,2026-06-14,Sunday,19:00,Ankara,Çankaya,CUST10059,Returning,Female,38.0,Ofis,Masa Düzenleyici,3,399,0,Wallet,EMP_24,Mobile,1197.0
ORD500035,2026-06-03,Wednesday,11:55,İzmir,Bornova,CUST11512,Returning,Male,28.0,Kitap,Kişisel Gelişim,1,349,15,Wallet,EMP_21,Web,296.65
ORD500036,2026-06-08,Monday,15:40,Antalya,Muratpaşa,CUST10285,New,Female,53.0,Elektronik,Powerbank,1,899,5,Wallet,EMP_03,Mobile,854.05
ORD500037,2026-06-06,Saturday,16:05,Ankara,Yenimahalle,CUST11020,Returning,Male,65.0,Ev,Saklama Kabı,2,299,0,PayPal,EMP_05,Mobile,598.0
ORD500038,2026-06-22,Monday,17:50,Konya,Selçuklu,CUST11564,Returning,Male,37.0,Elektronik,Powerbank,1,899,5,Card,EMP_01,Mobile,854.05
ORD500039,2026-06-03,Wednesday,16:40,Kocaeli,İzmit,CUST10002,New,Female,24.0,Elektronik,Bluetooth Kulaklık,1,1299,0,PayPal,EMP_19,Mobile,1299.0
ORD500040,2026-06-30,Tuesday,10:55,Ankara,Çankaya,CUST11230,New,Female,22.0,Kitap,Finans,2,459,10,Bank Transfer,EMP_18,Web,826.2
ORD500041,2026-06-10,Wednesday,21:20,Gaziantep,Şehitkamil,CUST11325,Returning,Female,59.0,Spor,Dambıl Seti,1,1899,0,Card,EMP_09,Mobile,1899.0
ORD500042,2026-06-08,Monday,18:25,İstanbul,Kadıköy,CUST10638,New,Female,36.0,Kitap,Bilim,1,429,0,Card,EMP_15,Mobile,429.0
ORD500043,2026-06-08,Monday,15:20,İstanbul,Bakırköy,CUST10048,New,Male,21.0,Spor,Dambıl Seti,3,1899,5,Bank Transfer,EMP_02,Web,5412.15
ORD500044,2026-06-23,Tuesday,11:30,İzmir,Karşıyaka,CUST11718,Returning,Male,51.0,Ofis,Defter,4,179,0,Card,EMP_15,Mobile,716.0
ORD500045,2026-06-06,Saturday,12:05,İstanbul,Şişli,CUST10400,Returning,Male,37.0,Ev,French Press,3,649,10,PayPal,EMP_07,Mobile,1752.3
ORD500046,2026-06-11,Thursday,16:35,İstanbul,Şişli,CUST10557,Returning,Female,21.0,Elektronik,Kablosuz Mouse,1,499,0,Card,EMP_09,Web,499.0
ORD500047,2026-06-24,Wednesday,19:25,Eskişehir,Odunpazarı,CUST11953,Returning,Male,19.0,Elektronik,Laptop Standı,3,999,5,Card,EMP_30,Mobile,2847.15
ORD500048,2026-06-14,Sunday,19:10,Eskişehir,Odunpazarı,CUST10327,New,Male,38.0,Elektronik,Akıllı Saat,3,3499,10,Card,EMP_03,Web,9447.3
ORD500049,2026-06-21,Sunday,10:40,Bursa,Nilüfer,CUST10943,New,Female,44.0,Kozmetik,Güneş Kremi,5,599,0,PayPal,EMP_25,Web,2995.0
ORD500050,2026-06-27,Saturday,15:20,Bursa,Nilüfer,CUST10503,New,Female,36.0,Ev,Masa Lambası,1,899,0,Bank Transfer,EMP_21,Web,899.0
ORD500051,2026-06-15,Monday,21:05,İstanbul,Kadıköy,CUST11773,New,Male,30.0,Ofis,Masa Düzenleyici,1,399,0,Bank Transfer,EMP_20,Web,399.0
ORD500052,2026-06-09,Tuesday,19:50,Gaziantep,Şehitkamil,CUST11871,New,Female,20.0,Kitap,Finans,1,459,0,Wallet,EMP_27,Mobile,459.0
ORD500053,2026-06-11,Thursday,16:25,İstanbul,Şişli,CUST10335,Returning,Male,24.0,Elektronik,Bluetooth Kulaklık,2,1299,5,Bank Transfer,EMP_14,Web,2468.1
ORD500054,2026-06-10,Wednesday,18:30,Gaziantep,Şehitkamil,CUST10012,Returning,Female,41.0,Ofis,Masa Düzenleyici,1,399,0,PayPal,EMP_14,Web,399.0
ORD500055,2026-06-04,Thursday,20:30,Bursa,Nilüfer,CUST10712,Returning,Female,43.0,Spor,Dambıl Seti,1,1899,0,Wallet,EMP_17,Web,1899.0
ORD500056,2026-06-06,Saturday,20:05,Ankara,Çankaya,CUST11271,Returning,Female,58.0,Ev,French Press,4,649,5,Bank Transfer,EMP_27,Mobile,2466.2
ORD500057,2026-06-16,Tuesday,14:15,İstanbul,Bakırköy,CUST10798,Returning,Male,30.0,Elektronik,Akıllı Saat,1,3499,0,Card,EMP_21,Web,3499.0
ORD500058,2026-06-14,Sunday,15:15,İzmir,Karşıyaka,CUST10819,New,Female,46.0,Spor,Suluk,2,249,0,PayPal,EMP_05,Mobile,498.0
ORD500059,2026-06-12,Friday,17:05,Konya,Selçuklu,CUST10052,New,Female,50.0,Elektronik,Powerbank,1,899,10,PayPal,EMP_07,Mobile,809.1
ORD500060,2026-06-05,Friday,21:35,Ankara,Çankaya,CUST10520,Returning,Female,28.0,Kitap,Roman,1,299,0,Wallet,EMP_19,Mobile,299.0
ORD500061,2026-06-09,Tuesday,18:15,Ankara,Çankaya,CUST11303,Returning,Male,42.0,Elektronik,Kablosuz Mouse,1,499,15,Wallet,EMP_18,Mobile,424.15
ORD500062,2026-06-17,Wednesday,18:05,İstanbul,Bakırköy,CUST10471,New,Female,41.0,Kitap,Bilim,2,429,0,Wallet,EMP_10,Web,858.0
ORD500063,2026-06-27,Saturday,17:20,Antalya,Muratpaşa,CUST10093,New,Female,41.0,Ofis,Defter,2,179,0,Bank Transfer,EMP_01,Mobile,358.0
ORD500064,2026-06-19,Friday,16:05,Bursa,Nilüfer,CUST10305,Returning,Female,48.0,Ev,Masa Lambası,2,899,0,Card,EMP_03,Web,1798.0
ORD500065,2026-06-21,Sunday,13:50,Konya,Selçuklu,CUST10090,New,Female,55.0,Ofis,Defter,2,179,10,PayPal,EMP_13,Mobile,322.2
ORD500066,2026-06-06,Saturday,14:00,Eskişehir,Odunpazarı,CUST10633,New,Male,56.0,Elektronik,Laptop Standı,3,999,0,PayPal,EMP_21,Web,2997.0
ORD500067,2026-06-02,Tuesday,21:55,Konya,Selçuklu,CUST10252,Returning,Male,46.0,Ev,Blender,2,2199,5,Card,EMP_23,Mobile,4178.1
ORD500068,2026-06-02,Tuesday,15:40,Adana,Seyhan,CUST10669,New,Male,33.0,Ev,Termos,1,549,5,Bank Transfer,EMP_11,Mobile,521.55
ORD500069,2026-06-20,Saturday,14:50,Eskişehir,Odunpazarı,CUST11198,New,Female,32.0,Spor,Koşu Çantası,3,499,15,Wallet,EMP_05,Web,1272.45
ORD500070,2026-06-02,Tuesday,10:05,Antalya,Muratpaşa,CUST11209,Returning,Female,59.0,Ev,Termos,2,549,0,Card,EMP_27,Web,1098.0
ORD500071,2026-06-27,Saturday,17:50,İstanbul,Bakırköy,CUST11621,New,Male,58.0,Kozmetik,Güneş Kremi,1,599,0,Wallet,EMP_11,Web,599.0
ORD500072,2026-06-11,Thursday,17:00,Ankara,Yenimahalle,CUST11062,New,Male,48.0,Elektronik,Akıllı Saat,3,3499,10,Card,EMP_16,Web,9447.3
ORD500073,2026-06-23,Tuesday,10:45,İstanbul,Kadıköy,CUST11690,New,Male,,Spor,Pilates Bandı,1,349,0,PayPal,EMP_19,Mobile,349.0
ORD500074,2026-06-12,Friday,21:40,İstanbul,Kadıköy,CUST11611,New,Male,58.0,Ev,Termos,4,549,0,PayPal,EMP_12,Mobile,2196.0
ORD500075,2026-06-04,Thursday,16:30,Eskişehir,Odunpazarı,CUST11933,Returning,Female,52.0,Ev,French Press,1,649,0,PayPal,EMP_18,Mobile,649.0
ORD500076,2026-06-20,Saturday,19:45,Antalya,Muratpaşa,CUST10946,New,Female,46.0,Kitap,Finans,2,459,10,Wallet,EMP_09,Web,826.2
ORD500077,2026-06-10,Wednesday,19:45,İstanbul,Kadıköy,CUST10400,Returning,Female,30.0,Kozmetik,Serum,2,899,0,Card,EMP_05,Mobile,1798.0
ORD500078,2026-06-26,Friday,15:20,İzmir,Bornova,CUST11295,Returning,Male,18.0,Elektronik,Bluetooth Kulaklık,1,1299,15,PayPal,EMP_01,Mobile,1104.15
ORD500079,2026-06-05,Friday,15:55,İzmir,Bornova,CUST10929,Returning,Male,32.0,Kozmetik,Şampuan,2,319,5,Bank Transfer,EMP_09,Mobile,606.1
ORD500080,2026-06-21,Sunday,19:30,İstanbul,Şişli,CUST10021,Returning,Male,44.0,Ofis,Kalem Seti,2,229,0,Bank Transfer,EMP_30,Web,458.0
ORD500081,2026-06-04,Thursday,10:40,İstanbul,Bakırköy,CUST11697,Returning,Male,52.0,Ofis,Kalem Seti,1,229,0,PayPal,EMP_14,Mobile,229.0
ORD500082,2026-06-24,Wednesday,21:15,Gaziantep,Şehitkamil,CUST11874,Returning,Male,34.0,Ev,French Press,2,649,5,PayPal,EMP_19,Web,1233.1
ORD500083,2026-06-09,Tuesday,12:20,Konya,Selçuklu,CUST10462,New,Male,22.0,Kozmetik,Şampuan,1,319,0,Bank Transfer,EMP_22,Mobile,319.0
ORD500084,2026-06-21,Sunday,20:30,İzmir,Karşıyaka,CUST11649,Returning,Male,42.0,Ofis,Kalem Seti,2,229,5,PayPal,EMP_08,Mobile,435.1
ORD500085,2026-06-21,Sunday,15:35,İzmir,Bornova,CUST11192,New,Female,54.0,Kitap,Kişisel Gelişim,2,349,0,Bank Transfer,EMP_07,Web,698.0
ORD500086,2026-06-03,Wednesday,18:20,Antalya,Muratpaşa,CUST11600,New,Male,43.0,Kozmetik,Yüz Temizleyici,2,429,0,Bank Transfer,EMP_07,Mobile,858.0
ORD500087,2026-06-16,Tuesday,19:40,İstanbul,Şişli,CUST11434,Returning,Female,26.0,Kitap,Veri Analizi 101,2,549,0,Card,EMP_16,Mobile,1098.0
ORD500088,2026-06-06,Saturday,18:55,İstanbul,Şişli,CUST11324,New,Female,44.0,Spor,Koşu Çantası,2,499,0,Card,EMP_20,Web,998.0
ORD500089,2026-06-02,Tuesday,19:25,Konya,Selçuklu,CUST10699,Returning,Female,44.0,Spor,Suluk,2,249,0,Wallet,EMP_10,Mobile,498.0
ORD500090,2026-06-14,Sunday,16:20,Bursa,Nilüfer,CUST10649,Returning,Female,40.0,Ev,Blender,2,2199,5,PayPal,EMP_19,Web,4178.1
ORD500091,2026-06-21,Sunday,12:00,Ankara,Yenimahalle,CUST11252,Returning,Female,48.0,Spor,Yoga Matı,1,699,0,Card,EMP_21,Mobile,699.0
ORD500092,2026-06-22,Monday,19:45,Kocaeli,İzmit,CUST10755,New,Male,20.0,Elektronik,Kablosuz Mouse,2,499,0,Card,EMP_18,Mobile,998.0
ORD500093,2026-06-23,Tuesday,15:20,İstanbul,Kadıköy,CUST10862,Returning,Male,49.0,Ev,Blender,2,2199,5,Card,EMP_03,Mobile,4178.1
ORD500094,2026-06-01,Monday,19:45,Antalya,Muratpaşa,CUST10249,New,Female,27.0,Spor,Suluk,1,249,0,Unknown,EMP_28,Mobile,249.0
ORD500095,2026-06-04,Thursday,12:00,İstanbul,Bakırköy,CUST11020,Returning,Male,62.0,Elektronik,Powerbank,4,899,0,Card,EMP_30,Mobile,3596.0
ORD500096,2026-06-02,Tuesday,19:00,İstanbul,Bakırköy,CUST11943,Returning,Male,28.0,Kitap,Finans,1,459,0,PayPal,EMP_22,Web,459.0
ORD500097,2026-06-06,Saturday,13:05,Ankara,Çankaya,CUST11440,Returning,Female,54.0,Kitap,Bilim,2,429,10,Wallet,EMP_27,Mobile,772.2
ORD500098,2026-06-05,Friday,18:20,Bursa,Nilüfer,CUST11201,New,Male,36.0,Ev,Blender,2,2199,15,Wallet,EMP_27,Mobile,3738.3
ORD500099,2026-06-05,Friday,19:45,İstanbul,Bakırköy,CUST10809,Returning,Female,42.0,Kitap,Bilim,1,429,0,Bank Transfer,EMP_30,Web,429.0
ORD500100,2026-06-09,Tuesday,18:00,Konya,Selçuklu,CUST10976,New,Female,55.0,Spor,Koşu Çantası,3,499,10,Wallet,EMP_07,Mobile,1347.3
ORD500101,2026-06-07,Sunday,12:55,Ankara,Yenimahalle,CUST11223,New,Male,24.0,Ev,Saklama Kabı,4,299,0,PayPal,EMP_09,Web,1196.0
ORD500102,2026-06-17,Wednesday,18:05,İstanbul,Bakırköy,CUST10411,New,Male,24.0,Spor,Koşu Çantası,1,499,15,Bank Transfer,EMP_03,Web,424.15
ORD500103,2026-06-01,Monday,11:40,Ankara,Yenimahalle,CUST10183,Returning,Female,63.0,Spor,Yoga Matı,3,699,5,Wallet,EMP_15,Web,1992.15
ORD500104,2026-06-28,Sunday,13:15,Gaziantep,Şehitkamil,CUST11546,New,Female,21.0,Elektronik,Akıllı Saat,4,3499,0,PayPal,EMP_22,Web,13996.0
ORD500105,2026-06-24,Wednesday,15:45,İzmir,Bornova,CUST10958,New,Female,28.0,Spor,Pilates Bandı,1,349,0,Bank Transfer,EMP_06,Mobile,349.0
ORD500106,2026-06-30,Tuesday,20:05,Eskişehir,Odunpazarı,CUST11685,New,Male,42.0,Kozmetik,Yüz Temizleyici,2,429,20,Card,EMP_04,Web,686.4
ORD500107,2026-06-21,Sunday,16:25,İstanbul,Kadıköy,CUST10685,New,Male,44.0,Elektronik,Kablosuz Mouse,2,499,0,Card,EMP_16,Mobile,998.0
ORD500108,2026-06-04,Thursday,16:35,İstanbul,Bakırköy,CUST11894,New,Female,30.0,Elektronik,Powerbank,2,899,10,PayPal,EMP_13,Mobile,1618.2
ORD500109,2026-06-10,Wednesday,17:10,İstanbul,Bakırköy,CUST11078,Returning,Female,39.0,Kozmetik,Yüz Temizleyici,4,429,0,Unknown,EMP_12,Mobile,1716.0
ORD500110,2026-06-14,Sunday,10:30,İstanbul,Bakırköy,CUST10280,New,Male,23.0,Elektronik,Powerbank,1,899,0,PayPal,EMP_07,Web,899.0
ORD500111,2026-06-01,Monday,11:55,Bursa,Nilüfer,CUST11785,Returning,Female,49.0,Spor,Pilates Bandı,1,349,10,PayPal,EMP_06,Mobile,314.1
ORD500112,2026-06-19,Friday,20:25,İstanbul,Bakırköy,CUST11772,Returning,Male,51.0,Ev,Saklama Kabı,3,299,0,Wallet,EMP_19,Mobile,897.0
ORD500113,2026-06-25,Thursday,20:20,Kocaeli,İzmit,CUST11137,New,Female,23.0,Spor,Yoga Matı,1,699,5,Bank Transfer,EMP_04,Web,664.05
ORD500114,2026-06-30,Tuesday,19:15,İstanbul,Bakırköy,CUST11199,Returning,Female,24.0,Kitap,Bilim,1,429,10,Card,EMP_04,Mobile,386.1
ORD500115,2026-06-04,Thursday,16:10,Bursa,Nilüfer,CUST11234,New,Male,19.0,Kozmetik,Yüz Temizleyici,2,429,5,PayPal,EMP_02,Mobile,815.1
ORD500116,2026-06-25,Thursday,16:30,İstanbul,Şişli,CUST10510,Returning,Female,53.0,Ofis,Monitör Yükseltici,3,1199,15,Bank Transfer,EMP_12,Mobile,3057.45
ORD500117,2026-06-04,Thursday,17:05,Ankara,Çankaya,CUST10544,Returning,Female,47.0,Spor,Yoga Matı,1,699,0,Card,EMP_20,Mobile,699.0
ORD500118,2026-06-04,Thursday,15:40,İstanbul,Kadıköy,CUST11908,New,Male,21.0,Kozmetik,Serum,1,899,0,Wallet,EMP_04,Mobile,899.0
ORD500119,2026-06-17,Wednesday,12:20,Eskişehir,Odunpazarı,CUST10943,Returning,Male,62.0,Ev,French Press,2,649,0,PayPal,EMP_16,Mobile,1298.0
ORD500120,2026-06-27,Saturday,15:15,Ankara,Çankaya,CUST10442,Returning,Female,33.0,Spor,Suluk,5,249,0,Wallet,EMP_25,Web,1245.0
ORD500121,2026-06-01,Monday,13:05,Antalya,Muratpaşa,CUST10287,New,Male,24.0,Spor,Yoga Matı,1,699,10,Bank Transfer,EMP_27,Mobile,629.1
ORD500122,2026-06-27,Saturday,17:55,Kocaeli,İzmit,CUST10855,Returning,Female,55.0,Ev,Termos,2,549,0,PayPal,EMP_13,Mobile,1098.0
ORD500123,2026-06-28,Sunday,17:35,Ankara,Yenimahalle,CUST11099,Returning,Female,65.0,Ev,Blender,2,2199,5,PayPal,EMP_14,Web,4178.1
ORD500124,2026-06-19,Friday,16:15,İstanbul,Şişli,CUST11834,Returning,Male,45.0,Ev,Saklama Kabı,3,299,20,Card,EMP_30,Web,717.6
ORD500125,2026-06-18,Thursday,19:40,Antalya,Muratpaşa,CUST10139,New,Female,20.0,Spor,Koşu Çantası,2,499,0,Wallet,EMP_14,Web,998.0
ORD500126,2026-06-12,Friday,17:50,Bursa,Nilüfer,CUST10153,Returning,Female,55.0,Kozmetik,Şampuan,1,319,0,Card,EMP_04,Web,319.0
ORD500127,2026-06-21,Sunday,20:55,Ankara,Yenimahalle,CUST11303,New,Male,21.0,Kitap,Finans,1,459,5,Card,EMP_01,Mobile,436.05
ORD500128,2026-06-26,Friday,09:55,Adana,Seyhan,CUST11053,New,Female,30.0,Kozmetik,Şampuan,3,319,5,Wallet,EMP_14,Mobile,909.15
ORD500129,2026-06-20,Saturday,12:10,Bursa,Nilüfer,CUST10564,New,Female,21.0,Elektronik,Bluetooth Kulaklık,2,1299,5,Wallet,EMP_09,Web,2468.1
ORD500130,2026-06-21,Sunday,12:45,İstanbul,Kadıköy,CUST11906,New,Male,20.0,Spor,Suluk,2,249,0,Bank Transfer,EMP_01,Web,498.0
ORD500131,2026-06-29,Monday,20:35,Ankara,Yenimahalle,CUST11457,Returning,Female,61.0,Kozmetik,Şampuan,4,319,0,Bank Transfer,EMP_26,Web,1276.0
ORD500132,2026-06-28,Sunday,14:10,İstanbul,Şişli,CUST11869,Returning,Female,42.0,Elektronik,Akıllı Saat,2,3499,0,Card,EMP_13,Mobile,6998.0
ORD500133,2026-06-07,Sunday,17:25,İstanbul,Kadıköy,CUST11628,New,Female,35.0,Ev,French Press,1,649,0,Bank Transfer,EMP_12,Mobile,649.0
ORD500134,2026-06-12,Friday,14:30,Ankara,Çankaya,CUST10753,New,Male,26.0,Ev,Blender,1,2199,0,Wallet,EMP_20,Mobile,2199.0
ORD500135,2026-06-17,Wednesday,14:05,Adana,Seyhan,CUST11422,New,Female,63.0,Spor,Pilates Bandı,2,349,10,Wallet,EMP_11,Mobile,628.2
ORD500136,2026-06-07,Sunday,18:05,İstanbul,Şişli,CUST11861,Returning,Female,26.0,Ofis,Masa Düzenleyici,1,399,10,PayPal,EMP_30,Mobile,359.1
ORD500137,2026-06-09,Tuesday,13:25,Adana,Seyhan,CUST11869,New,Female,43.0,Kozmetik,Güneş Kremi,2,599,10,Card,EMP_13,Web,1078.2
ORD500138,2026-06-02,Tuesday,18:30,İstanbul,Şişli,CUST10890,Returning,Female,54.0,Elektronik,Bluetooth Kulaklık,2,1299,5,PayPal,EMP_04,Web,2468.1
ORD500139,2026-06-27,Saturday,19:50,Ankara,Çankaya,CUST11871,New,Male,20.0,Kozmetik,Parfüm,2,1799,0,Bank Transfer,EMP_23,Web,3598.0
ORD500140,2026-06-24,Wednesday,16:55,Antalya,Muratpaşa,CUST10421,Returning,Female,39.0,Ev,French Press,1,649,15,PayPal,EMP_16,Mobile,551.65
ORD500141,2026-06-25,Thursday,14:55,Kocaeli,İzmit,CUST10412,Returning,Female,33.0,Elektronik,Powerbank,4,899,5,Bank Transfer,EMP_05,Mobile,3416.2
ORD500142,2026-06-22,Monday,19:50,İzmir,Bornova,CUST11289,New,Male,26.0,Elektronik,Kablosuz Mouse,1,499,5,Bank Transfer,EMP_25,Web,474.05
ORD500143,2026-06-06,Saturday,19:10,Antalya,Muratpaşa,CUST10226,Returning,Male,49.0,Ofis,Ajanda,4,319,0,Card,EMP_04,Web,1276.0
ORD500144,2026-06-06,Saturday,16:35,Bursa,Nilüfer,CUST10889,Returning,Female,63.0,Elektronik,Bluetooth Kulaklık,2,1299,5,Wallet,EMP_26,Mobile,2468.1
ORD500145,2026-06-18,Thursday,16:25,Eskişehir,Odunpazarı,CUST11306,New,Female,19.0,Kitap,Kişisel Gelişim,2,349,0,Bank Transfer,EMP_26,Web,698.0
ORD500146,2026-06-24,Wednesday,20:55,Antalya,Muratpaşa,CUST11160,Returning,Female,41.0,Elektronik,Akıllı Saat,1,3499,0,Wallet,EMP_07,Web,3499.0
ORD500147,2026-06-16,Tuesday,17:55,İstanbul,Şişli,CUST10981,New,Female,58.0,Kitap,Veri Analizi 101,1,549,0,Card,EMP_24,Mobile,549.0
ORD500148,2026-06-12,Friday,09:45,Kocaeli,İzmit,CUST11851,New,Male,39.0,Elektronik,Bluetooth Kulaklık,2,1299,5,Card,EMP_10,Mobile,2468.1
ORD500149,2026-06-01,Monday,17:45,Adana,Seyhan,CUST11661,New,Male,58.0,Spor,Koşu Çantası,1,499,5,PayPal,EMP_20,Mobile,474.05
ORD500150,2026-06-22,Monday,15:45,İzmir,Karşıyaka,CUST10174,New,Male,19.0,Spor,Dambıl Seti,1,1899,0,Bank Transfer,EMP_18,Mobile,1899.0
ORD500151,2026-06-19,Friday,21:25,Bursa,Nilüfer,CUST11372,Returning,Male,65.0,Ev,French Press,1,649,20,Wallet,EMP_08,Web,519.2
ORD500152,2026-06-18,Thursday,17:40,Bursa,Nilüfer,CUST11055,New,Male,46.0,Ofis,Monitör Yükseltici,2,1199,15,Card,EMP_27,Mobile,2038.3
ORD500153,2026-06-22,Monday,16:10,Gaziantep,Şehitkamil,CUST10436,Returning,Male,33.0,Spor,Yoga Matı,1,699,10,Card,EMP_04,Mobile,629.1
ORD500154,2026-06-23,Tuesday,13:05,Antalya,Muratpaşa,CUST11509,Returning,Male,65.0,Spor,Pilates Bandı,1,349,10,Wallet,EMP_02,Web,314.1
ORD500155,2026-06-27,Saturday,18:05,Ankara,Yenimahalle,CUST10232,New,Male,30.0,Ofis,Defter,1,179,15,Card,EMP_04,Mobile,152.15
